country	Lat	Long	date	Number of confirmed COVID-19
Afghanistan	33	65	4/8/20	444
Afghanistan	33	65	4/9/20	484
Albania	41.1533	20.1683	1/22/20	0
Albania	41.1533	20.1683	1/23/20	0
Albania	41.1533	20.1683	1/24/20	0
Albania	41.1533	20.1683	1/25/20	0
Albania	41.1533	20.1683	1/26/20	0
Albania	41.1533	20.1683	1/27/20	0
Albania	41.1533	20.1683	1/28/20	0
Albania	41.1533	20.1683	1/29/20	0
Albania	41.1533	20.1683	1/30/20	0
Albania	41.1533	20.1683	1/31/20	0
Albania	41.1533	20.1683	2/1/20	0
Albania	41.1533	20.1683	2/10/20	0
Albania	41.1533	20.1683	2/11/20	0
Albania	41.1533	20.1683	2/12/20	0
Albania	41.1533	20.1683	2/13/20	0
Albania	41.1533	20.1683	2/14/20	0
Albania	41.1533	20.1683	2/15/20	0
Albania	41.1533	20.1683	2/16/20	0
Albania	41.1533	20.1683	2/17/20	0
Albania	41.1533	20.1683	2/18/20	0
Albania	41.1533	20.1683	2/19/20	0
Albania	41.1533	20.1683	2/2/20	0
Albania	41.1533	20.1683	2/20/20	0
Albania	41.1533	20.1683	2/21/20	0
Albania	41.1533	20.1683	2/22/20	0
Albania	41.1533	20.1683	2/23/20	0
Albania	41.1533	20.1683	2/24/20	0
Albania	41.1533	20.1683	2/25/20	0
Albania	41.1533	20.1683	2/26/20	0
Albania	41.1533	20.1683	2/27/20	0
Albania	41.1533	20.1683	2/28/20	0
Albania	41.1533	20.1683	2/29/20	0
Albania	41.1533	20.1683	2/3/20	0
Albania	41.1533	20.1683	2/4/20	0
Albania	41.1533	20.1683	2/5/20	0
Albania	41.1533	20.1683	2/6/20	0
Albania	41.1533	20.1683	2/7/20	0
Albania	41.1533	20.1683	2/8/20	0
Albania	41.1533	20.1683	2/9/20	0
Albania	41.1533	20.1683	3/1/20	0
Albania	41.1533	20.1683	3/10/20	10
Albania	41.1533	20.1683	3/11/20	12
Albania	41.1533	20.1683	3/12/20	23
Albania	41.1533	20.1683	3/13/20	33
Albania	41.1533	20.1683	3/14/20	38
Albania	41.1533	20.1683	3/15/20	42
Albania	41.1533	20.1683	3/16/20	51
Albania	41.1533	20.1683	3/17/20	55
Albania	41.1533	20.1683	3/18/20	59
Albania	41.1533	20.1683	3/19/20	64
Albania	41.1533	20.1683	3/2/20	0
Albania	41.1533	20.1683	3/20/20	70
Albania	41.1533	20.1683	3/21/20	76
Albania	41.1533	20.1683	3/22/20	89
Albania	41.1533	20.1683	3/23/20	104
Albania	41.1533	20.1683	3/24/20	123
Albania	41.1533	20.1683	3/25/20	146
Albania	41.1533	20.1683	3/26/20	174
Albania	41.1533	20.1683	3/27/20	186
Albania	41.1533	20.1683	3/28/20	197
Albania	41.1533	20.1683	3/29/20	212
Albania	41.1533	20.1683	3/3/20	0
Albania	41.1533	20.1683	3/30/20	223
Albania	41.1533	20.1683	3/31/20	243
Albania	41.1533	20.1683	3/4/20	0
Albania	41.1533	20.1683	3/5/20	0
Albania	41.1533	20.1683	3/6/20	0
Albania	41.1533	20.1683	3/7/20	0
Albania	41.1533	20.1683	3/8/20	0
Albania	41.1533	20.1683	3/9/20	2
Albania	41.1533	20.1683	4/1/20	259
Albania	41.1533	20.1683	4/10/20	416
Albania	41.1533	20.1683	4/11/20	433
Albania	41.1533	20.1683	4/12/20	446
Albania	41.1533	20.1683	4/13/20	467
Albania	41.1533	20.1683	4/14/20	475
Albania	41.1533	20.1683	4/15/20	494
Albania	41.1533	20.1683	4/16/20	518
Albania	41.1533	20.1683	4/2/20	277
Albania	41.1533	20.1683	4/3/20	304
Albania	41.1533	20.1683	4/4/20	333
Albania	41.1533	20.1683	4/5/20	361
Albania	41.1533	20.1683	4/6/20	377
Albania	41.1533	20.1683	4/7/20	383
Albania	41.1533	20.1683	4/8/20	400
Albania	41.1533	20.1683	4/9/20	409
Algeria	28.0339	1.6596	1/22/20	0
Algeria	28.0339	1.6596	1/23/20	0
Algeria	28.0339	1.6596	1/24/20	0
Algeria	28.0339	1.6596	1/25/20	0
Algeria	28.0339	1.6596	1/26/20	0
Algeria	28.0339	1.6596	1/27/20	0
Algeria	28.0339	1.6596	1/28/20	0
Algeria	28.0339	1.6596	1/29/20	0
Algeria	28.0339	1.6596	1/30/20	0
Algeria	28.0339	1.6596	1/31/20	0
Algeria	28.0339	1.6596	2/1/20	0
Algeria	28.0339	1.6596	2/10/20	0
Algeria	28.0339	1.6596	2/11/20	0
Algeria	28.0339	1.6596	2/12/20	0
Algeria	28.0339	1.6596	2/13/20	0
Algeria	28.0339	1.6596	2/14/20	0
Algeria	28.0339	1.6596	2/15/20	0
Algeria	28.0339	1.6596	2/16/20	0
Algeria	28.0339	1.6596	2/17/20	0
Algeria	28.0339	1.6596	2/18/20	0
Algeria	28.0339	1.6596	2/19/20	0
Algeria	28.0339	1.6596	2/2/20	0
Algeria	28.0339	1.6596	2/20/20	0
Algeria	28.0339	1.6596	2/21/20	0
Algeria	28.0339	1.6596	2/22/20	0
Algeria	28.0339	1.6596	2/23/20	0
Algeria	28.0339	1.6596	2/24/20	0
Algeria	28.0339	1.6596	2/25/20	1
Algeria	28.0339	1.6596	2/26/20	1
Algeria	28.0339	1.6596	2/27/20	1
Algeria	28.0339	1.6596	2/28/20	1
Algeria	28.0339	1.6596	2/29/20	1
Algeria	28.0339	1.6596	2/3/20	0
Algeria	28.0339	1.6596	2/4/20	0
Algeria	28.0339	1.6596	2/5/20	0
Algeria	28.0339	1.6596	2/6/20	0
Algeria	28.0339	1.6596	2/7/20	0
Algeria	28.0339	1.6596	2/8/20	0
Algeria	28.0339	1.6596	2/9/20	0
Algeria	28.0339	1.6596	3/1/20	1
Algeria	28.0339	1.6596	3/10/20	20
Algeria	28.0339	1.6596	3/11/20	20
Algeria	28.0339	1.6596	3/12/20	24
Algeria	28.0339	1.6596	3/13/20	26
Algeria	28.0339	1.6596	3/14/20	37
Algeria	28.0339	1.6596	3/15/20	48
Algeria	28.0339	1.6596	3/16/20	54
Algeria	28.0339	1.6596	3/17/20	60
Algeria	28.0339	1.6596	3/18/20	74
Algeria	28.0339	1.6596	3/19/20	87
Algeria	28.0339	1.6596	3/2/20	3
Algeria	28.0339	1.6596	3/20/20	90
Algeria	28.0339	1.6596	3/21/20	139
Algeria	28.0339	1.6596	3/22/20	201
Algeria	28.0339	1.6596	3/23/20	230
Algeria	28.0339	1.6596	3/24/20	264
Algeria	28.0339	1.6596	3/25/20	302
Algeria	28.0339	1.6596	3/26/20	367
Algeria	28.0339	1.6596	3/27/20	409
Algeria	28.0339	1.6596	3/28/20	454
Algeria	28.0339	1.6596	3/29/20	511
Algeria	28.0339	1.6596	3/3/20	5
Algeria	28.0339	1.6596	3/30/20	584
Algeria	28.0339	1.6596	3/31/20	716
Algeria	28.0339	1.6596	3/4/20	12
Algeria	28.0339	1.6596	3/5/20	12
Algeria	28.0339	1.6596	3/6/20	17
Algeria	28.0339	1.6596	3/7/20	17
Algeria	28.0339	1.6596	3/8/20	19
Algeria	28.0339	1.6596	3/9/20	20
Algeria	28.0339	1.6596	4/1/20	847
Algeria	28.0339	1.6596	4/10/20	1761
Algeria	28.0339	1.6596	4/11/20	1825
Algeria	28.0339	1.6596	4/12/20	1914
Algeria	28.0339	1.6596	4/13/20	1983
Algeria	28.0339	1.6596	4/14/20	2070
Algeria	28.0339	1.6596	4/15/20	2160
Algeria	28.0339	1.6596	4/16/20	2268
Algeria	28.0339	1.6596	4/2/20	986
Algeria	28.0339	1.6596	4/3/20	1171
Algeria	28.0339	1.6596	4/4/20	1251
Algeria	28.0339	1.6596	4/5/20	1320
Algeria	28.0339	1.6596	4/6/20	1423
Algeria	28.0339	1.6596	4/7/20	1468
Algeria	28.0339	1.6596	4/8/20	1572
Algeria	28.0339	1.6596	4/9/20	1666
Andorra	42.5063	1.5218	1/22/20	0
Andorra	42.5063	1.5218	1/23/20	0
Andorra	42.5063	1.5218	1/24/20	0
Andorra	42.5063	1.5218	1/25/20	0
Andorra	42.5063	1.5218	1/26/20	0
Andorra	42.5063	1.5218	1/27/20	0
Andorra	42.5063	1.5218	1/28/20	0
Andorra	42.5063	1.5218	1/29/20	0
Andorra	42.5063	1.5218	1/30/20	0
Andorra	42.5063	1.5218	1/31/20	0
Andorra	42.5063	1.5218	2/1/20	0
Andorra	42.5063	1.5218	2/10/20	0
Andorra	42.5063	1.5218	2/11/20	0
Andorra	42.5063	1.5218	2/12/20	0
Andorra	42.5063	1.5218	2/13/20	0
Andorra	42.5063	1.5218	2/14/20	0
Andorra	42.5063	1.5218	2/15/20	0
Andorra	42.5063	1.5218	2/16/20	0
Andorra	42.5063	1.5218	2/17/20	0
Andorra	42.5063	1.5218	2/18/20	0
Andorra	42.5063	1.5218	2/19/20	0
Andorra	42.5063	1.5218	2/2/20	0
Andorra	42.5063	1.5218	2/20/20	0
Andorra	42.5063	1.5218	2/21/20	0
Andorra	42.5063	1.5218	2/22/20	0
Andorra	42.5063	1.5218	2/23/20	0
Andorra	42.5063	1.5218	2/24/20	0
Andorra	42.5063	1.5218	2/25/20	0
Andorra	42.5063	1.5218	2/26/20	0
Andorra	42.5063	1.5218	2/27/20	0
Andorra	42.5063	1.5218	2/28/20	0
Andorra	42.5063	1.5218	2/29/20	0
Andorra	42.5063	1.5218	2/3/20	0
Andorra	42.5063	1.5218	2/4/20	0
Andorra	42.5063	1.5218	2/5/20	0
Andorra	42.5063	1.5218	2/6/20	0
Andorra	42.5063	1.5218	2/7/20	0
Andorra	42.5063	1.5218	2/8/20	0
Andorra	42.5063	1.5218	2/9/20	0
Andorra	42.5063	1.5218	3/1/20	0
Andorra	42.5063	1.5218	3/10/20	1
Andorra	42.5063	1.5218	3/11/20	1
Andorra	42.5063	1.5218	3/12/20	1
Andorra	42.5063	1.5218	3/13/20	1
Andorra	42.5063	1.5218	3/14/20	1
Andorra	42.5063	1.5218	3/15/20	1
Andorra	42.5063	1.5218	3/16/20	2
Andorra	42.5063	1.5218	3/17/20	39
Andorra	42.5063	1.5218	3/18/20	39
Andorra	42.5063	1.5218	3/19/20	53
Andorra	42.5063	1.5218	3/2/20	1
Andorra	42.5063	1.5218	3/20/20	75
Andorra	42.5063	1.5218	3/21/20	88
Andorra	42.5063	1.5218	3/22/20	113
Andorra	42.5063	1.5218	3/23/20	133
Andorra	42.5063	1.5218	3/24/20	164
Andorra	42.5063	1.5218	3/25/20	188
Andorra	42.5063	1.5218	3/26/20	224
Andorra	42.5063	1.5218	3/27/20	267
Andorra	42.5063	1.5218	3/28/20	308
Andorra	42.5063	1.5218	3/29/20	334
Andorra	42.5063	1.5218	3/3/20	1
Andorra	42.5063	1.5218	3/30/20	370
Andorra	42.5063	1.5218	3/31/20	376
Andorra	42.5063	1.5218	3/4/20	1
Andorra	42.5063	1.5218	3/5/20	1
Andorra	42.5063	1.5218	3/6/20	1
Andorra	42.5063	1.5218	3/7/20	1
Andorra	42.5063	1.5218	3/8/20	1
Andorra	42.5063	1.5218	3/9/20	1
Andorra	42.5063	1.5218	4/1/20	390
Andorra	42.5063	1.5218	4/10/20	601
Andorra	42.5063	1.5218	4/11/20	601
Andorra	42.5063	1.5218	4/12/20	638
Andorra	42.5063	1.5218	4/13/20	646
Andorra	42.5063	1.5218	4/14/20	659
Andorra	42.5063	1.5218	4/15/20	673
Andorra	42.5063	1.5218	4/16/20	673
Andorra	42.5063	1.5218	4/2/20	428
Andorra	42.5063	1.5218	4/3/20	439
Andorra	42.5063	1.5218	4/4/20	466
Andorra	42.5063	1.5218	4/5/20	501
Andorra	42.5063	1.5218	4/6/20	525
Andorra	42.5063	1.5218	4/7/20	545
Andorra	42.5063	1.5218	4/8/20	564
Andorra	42.5063	1.5218	4/9/20	583
Angola	-11.2027	17.8739	1/22/20	0
Angola	-11.2027	17.8739	1/23/20	0
Angola	-11.2027	17.8739	1/24/20	0
Angola	-11.2027	17.8739	1/25/20	0
Angola	-11.2027	17.8739	1/26/20	0
Angola	-11.2027	17.8739	1/27/20	0
Angola	-11.2027	17.8739	1/28/20	0
Angola	-11.2027	17.8739	1/29/20	0
Angola	-11.2027	17.8739	1/30/20	0
Angola	-11.2027	17.8739	1/31/20	0
Angola	-11.2027	17.8739	2/1/20	0
Angola	-11.2027	17.8739	2/10/20	0
Angola	-11.2027	17.8739	2/11/20	0
Angola	-11.2027	17.8739	2/12/20	0
Angola	-11.2027	17.8739	2/13/20	0
Angola	-11.2027	17.8739	2/14/20	0
Angola	-11.2027	17.8739	2/15/20	0
Angola	-11.2027	17.8739	2/16/20	0
Angola	-11.2027	17.8739	2/17/20	0
Angola	-11.2027	17.8739	2/18/20	0
Angola	-11.2027	17.8739	2/19/20	0
Angola	-11.2027	17.8739	2/2/20	0
Angola	-11.2027	17.8739	2/20/20	0
Angola	-11.2027	17.8739	2/21/20	0
Angola	-11.2027	17.8739	2/22/20	0
Angola	-11.2027	17.8739	2/23/20	0
Angola	-11.2027	17.8739	2/24/20	0
Angola	-11.2027	17.8739	2/25/20	0
Angola	-11.2027	17.8739	2/26/20	0
Angola	-11.2027	17.8739	2/27/20	0
Angola	-11.2027	17.8739	2/28/20	0
Angola	-11.2027	17.8739	2/29/20	0
Angola	-11.2027	17.8739	2/3/20	0
Angola	-11.2027	17.8739	2/4/20	0
Angola	-11.2027	17.8739	2/5/20	0
Angola	-11.2027	17.8739	2/6/20	0
Angola	-11.2027	17.8739	2/7/20	0
Angola	-11.2027	17.8739	2/8/20	0
Angola	-11.2027	17.8739	2/9/20	0
Angola	-11.2027	17.8739	3/1/20	0
Angola	-11.2027	17.8739	3/10/20	0
Angola	-11.2027	17.8739	3/11/20	0
Angola	-11.2027	17.8739	3/12/20	0
Angola	-11.2027	17.8739	3/13/20	0
Angola	-11.2027	17.8739	3/14/20	0
Angola	-11.2027	17.8739	3/15/20	0
Angola	-11.2027	17.8739	3/16/20	0
Angola	-11.2027	17.8739	3/17/20	0
Angola	-11.2027	17.8739	3/18/20	0
Angola	-11.2027	17.8739	3/19/20	0
Angola	-11.2027	17.8739	3/2/20	0
Angola	-11.2027	17.8739	3/20/20	1
Angola	-11.2027	17.8739	3/21/20	2
Angola	-11.2027	17.8739	3/22/20	2
Angola	-11.2027	17.8739	3/23/20	3
Angola	-11.2027	17.8739	3/24/20	3
Angola	-11.2027	17.8739	3/25/20	3
Angola	-11.2027	17.8739	3/26/20	4
Angola	-11.2027	17.8739	3/27/20	4
Angola	-11.2027	17.8739	3/28/20	5
Angola	-11.2027	17.8739	3/29/20	7
Angola	-11.2027	17.8739	3/3/20	0
Angola	-11.2027	17.8739	3/30/20	7
Angola	-11.2027	17.8739	3/31/20	7
Angola	-11.2027	17.8739	3/4/20	0
Angola	-11.2027	17.8739	3/5/20	0
Angola	-11.2027	17.8739	3/6/20	0
Angola	-11.2027	17.8739	3/7/20	0
Angola	-11.2027	17.8739	3/8/20	0
Angola	-11.2027	17.8739	3/9/20	0
Angola	-11.2027	17.8739	4/1/20	8
Angola	-11.2027	17.8739	4/10/20	19
Angola	-11.2027	17.8739	4/11/20	19
Angola	-11.2027	17.8739	4/12/20	19
Angola	-11.2027	17.8739	4/13/20	19
Angola	-11.2027	17.8739	4/14/20	19
Angola	-11.2027	17.8739	4/15/20	19
Angola	-11.2027	17.8739	4/16/20	19
Angola	-11.2027	17.8739	4/2/20	8
Angola	-11.2027	17.8739	4/3/20	8
Angola	-11.2027	17.8739	4/4/20	10
Angola	-11.2027	17.8739	4/5/20	14
Angola	-11.2027	17.8739	4/6/20	16
Angola	-11.2027	17.8739	4/7/20	17
Angola	-11.2027	17.8739	4/8/20	19
Angola	-11.2027	17.8739	4/9/20	19
Antigua and Barbuda	17.0608	-61.7964	1/22/20	0
Antigua and Barbuda	17.0608	-61.7964	1/23/20	0
Antigua and Barbuda	17.0608	-61.7964	1/24/20	0
Antigua and Barbuda	17.0608	-61.7964	1/25/20	0
Antigua and Barbuda	17.0608	-61.7964	1/26/20	0
Antigua and Barbuda	17.0608	-61.7964	1/27/20	0
Antigua and Barbuda	17.0608	-61.7964	1/28/20	0
Antigua and Barbuda	17.0608	-61.7964	1/29/20	0
Antigua and Barbuda	17.0608	-61.7964	1/30/20	0
Antigua and Barbuda	17.0608	-61.7964	1/31/20	0
Antigua and Barbuda	17.0608	-61.7964	2/1/20	0
Antigua and Barbuda	17.0608	-61.7964	2/10/20	0
Antigua and Barbuda	17.0608	-61.7964	2/11/20	0
Antigua and Barbuda	17.0608	-61.7964	2/12/20	0
Antigua and Barbuda	17.0608	-61.7964	2/13/20	0
Antigua and Barbuda	17.0608	-61.7964	2/14/20	0
Antigua and Barbuda	17.0608	-61.7964	2/15/20	0
Antigua and Barbuda	17.0608	-61.7964	2/16/20	0
Antigua and Barbuda	17.0608	-61.7964	2/17/20	0
Antigua and Barbuda	17.0608	-61.7964	2/18/20	0
Antigua and Barbuda	17.0608	-61.7964	2/19/20	0
Antigua and Barbuda	17.0608	-61.7964	2/2/20	0
Antigua and Barbuda	17.0608	-61.7964	2/20/20	0
Antigua and Barbuda	17.0608	-61.7964	2/21/20	0
Antigua and Barbuda	17.0608	-61.7964	2/22/20	0
Antigua and Barbuda	17.0608	-61.7964	2/23/20	0
Antigua and Barbuda	17.0608	-61.7964	2/24/20	0
Antigua and Barbuda	17.0608	-61.7964	2/25/20	0
Antigua and Barbuda	17.0608	-61.7964	2/26/20	0
Antigua and Barbuda	17.0608	-61.7964	2/27/20	0
Antigua and Barbuda	17.0608	-61.7964	2/28/20	0
Antigua and Barbuda	17.0608	-61.7964	2/29/20	0
Antigua and Barbuda	17.0608	-61.7964	2/3/20	0
Antigua and Barbuda	17.0608	-61.7964	2/4/20	0
Antigua and Barbuda	17.0608	-61.7964	2/5/20	0
Antigua and Barbuda	17.0608	-61.7964	2/6/20	0
Antigua and Barbuda	17.0608	-61.7964	2/7/20	0
Antigua and Barbuda	17.0608	-61.7964	2/8/20	0
Antigua and Barbuda	17.0608	-61.7964	2/9/20	0
Antigua and Barbuda	17.0608	-61.7964	3/1/20	0
Antigua and Barbuda	17.0608	-61.7964	3/10/20	0
Antigua and Barbuda	17.0608	-61.7964	3/11/20	0
Antigua and Barbuda	17.0608	-61.7964	3/12/20	0
Antigua and Barbuda	17.0608	-61.7964	3/13/20	1
Antigua and Barbuda	17.0608	-61.7964	3/14/20	1
Antigua and Barbuda	17.0608	-61.7964	3/15/20	1
Antigua and Barbuda	17.0608	-61.7964	3/16/20	1
Antigua and Barbuda	17.0608	-61.7964	3/17/20	1
Antigua and Barbuda	17.0608	-61.7964	3/18/20	1
Antigua and Barbuda	17.0608	-61.7964	3/19/20	1
Antigua and Barbuda	17.0608	-61.7964	3/2/20	0
Antigua and Barbuda	17.0608	-61.7964	3/20/20	1
Antigua and Barbuda	17.0608	-61.7964	3/21/20	1
Antigua and Barbuda	17.0608	-61.7964	3/22/20	1
Antigua and Barbuda	17.0608	-61.7964	3/23/20	3
Antigua and Barbuda	17.0608	-61.7964	3/24/20	3
Antigua and Barbuda	17.0608	-61.7964	3/25/20	3
Antigua and Barbuda	17.0608	-61.7964	3/26/20	7
Antigua and Barbuda	17.0608	-61.7964	3/27/20	7
Antigua and Barbuda	17.0608	-61.7964	3/28/20	7
Antigua and Barbuda	17.0608	-61.7964	3/29/20	7
Antigua and Barbuda	17.0608	-61.7964	3/3/20	0
Antigua and Barbuda	17.0608	-61.7964	3/30/20	7
Antigua and Barbuda	17.0608	-61.7964	3/31/20	7
Antigua and Barbuda	17.0608	-61.7964	3/4/20	0
Antigua and Barbuda	17.0608	-61.7964	3/5/20	0
Antigua and Barbuda	17.0608	-61.7964	3/6/20	0
Antigua and Barbuda	17.0608	-61.7964	3/7/20	0
Antigua and Barbuda	17.0608	-61.7964	3/8/20	0
Antigua and Barbuda	17.0608	-61.7964	3/9/20	0
Antigua and Barbuda	17.0608	-61.7964	4/1/20	7
Antigua and Barbuda	17.0608	-61.7964	4/10/20	19
Antigua and Barbuda	17.0608	-61.7964	4/11/20	21
Antigua and Barbuda	17.0608	-61.7964	4/12/20	21
Antigua and Barbuda	17.0608	-61.7964	4/13/20	23
Antigua and Barbuda	17.0608	-61.7964	4/14/20	23
Antigua and Barbuda	17.0608	-61.7964	4/15/20	23
Antigua and Barbuda	17.0608	-61.7964	4/16/20	23
Antigua and Barbuda	17.0608	-61.7964	4/2/20	9
Antigua and Barbuda	17.0608	-61.7964	4/3/20	15
Antigua and Barbuda	17.0608	-61.7964	4/4/20	15
Antigua and Barbuda	17.0608	-61.7964	4/5/20	15
Antigua and Barbuda	17.0608	-61.7964	4/6/20	15
Antigua and Barbuda	17.0608	-61.7964	4/7/20	19
Antigua and Barbuda	17.0608	-61.7964	4/8/20	19
Antigua and Barbuda	17.0608	-61.7964	4/9/20	19
Argentina	-38.4161	-63.6167	1/22/20	0
Argentina	-38.4161	-63.6167	1/23/20	0
Argentina	-38.4161	-63.6167	1/24/20	0
Argentina	-38.4161	-63.6167	1/25/20	0
Argentina	-38.4161	-63.6167	1/26/20	0
Argentina	-38.4161	-63.6167	1/27/20	0
Argentina	-38.4161	-63.6167	1/28/20	0
Argentina	-38.4161	-63.6167	1/29/20	0
Argentina	-38.4161	-63.6167	1/30/20	0
Argentina	-38.4161	-63.6167	1/31/20	0
Argentina	-38.4161	-63.6167	2/1/20	0
Argentina	-38.4161	-63.6167	2/10/20	0
Argentina	-38.4161	-63.6167	2/11/20	0
Argentina	-38.4161	-63.6167	2/12/20	0
Argentina	-38.4161	-63.6167	2/13/20	0
Argentina	-38.4161	-63.6167	2/14/20	0
Argentina	-38.4161	-63.6167	2/15/20	0
Argentina	-38.4161	-63.6167	2/16/20	0
Argentina	-38.4161	-63.6167	2/17/20	0
Argentina	-38.4161	-63.6167	2/18/20	0
Argentina	-38.4161	-63.6167	2/19/20	0
Argentina	-38.4161	-63.6167	2/2/20	0
Argentina	-38.4161	-63.6167	2/20/20	0
Argentina	-38.4161	-63.6167	2/21/20	0
Argentina	-38.4161	-63.6167	2/22/20	0
Argentina	-38.4161	-63.6167	2/23/20	0
Argentina	-38.4161	-63.6167	2/24/20	0
Argentina	-38.4161	-63.6167	2/25/20	0
Argentina	-38.4161	-63.6167	2/26/20	0
Argentina	-38.4161	-63.6167	2/27/20	0
Argentina	-38.4161	-63.6167	2/28/20	0
Argentina	-38.4161	-63.6167	2/29/20	0
Argentina	-38.4161	-63.6167	2/3/20	0
Argentina	-38.4161	-63.6167	2/4/20	0
Argentina	-38.4161	-63.6167	2/5/20	0
Argentina	-38.4161	-63.6167	2/6/20	0
Argentina	-38.4161	-63.6167	2/7/20	0
Argentina	-38.4161	-63.6167	2/8/20	0
Argentina	-38.4161	-63.6167	2/9/20	0
Argentina	-38.4161	-63.6167	3/1/20	0
Argentina	-38.4161	-63.6167	3/10/20	17
Argentina	-38.4161	-63.6167	3/11/20	19
Argentina	-38.4161	-63.6167	3/12/20	19
Argentina	-38.4161	-63.6167	3/13/20	31
Argentina	-38.4161	-63.6167	3/14/20	34
Argentina	-38.4161	-63.6167	3/15/20	45
Argentina	-38.4161	-63.6167	3/16/20	56
Argentina	-38.4161	-63.6167	3/17/20	68
Argentina	-38.4161	-63.6167	3/18/20	79
Argentina	-38.4161	-63.6167	3/19/20	97
Argentina	-38.4161	-63.6167	3/2/20	0
Argentina	-38.4161	-63.6167	3/20/20	128
Argentina	-38.4161	-63.6167	3/21/20	158
Argentina	-38.4161	-63.6167	3/22/20	266
Argentina	-38.4161	-63.6167	3/23/20	301
Argentina	-38.4161	-63.6167	3/24/20	387
Argentina	-38.4161	-63.6167	3/25/20	387
Argentina	-38.4161	-63.6167	3/26/20	502
Argentina	-38.4161	-63.6167	3/27/20	589
Argentina	-38.4161	-63.6167	3/28/20	690
Argentina	-38.4161	-63.6167	3/29/20	745
Argentina	-38.4161	-63.6167	3/3/20	1
Argentina	-38.4161	-63.6167	3/30/20	820
Argentina	-38.4161	-63.6167	3/31/20	1054
Argentina	-38.4161	-63.6167	3/4/20	1
Argentina	-38.4161	-63.6167	3/5/20	1
Argentina	-38.4161	-63.6167	3/6/20	2
Argentina	-38.4161	-63.6167	3/7/20	8
Argentina	-38.4161	-63.6167	3/8/20	12
Argentina	-38.4161	-63.6167	3/9/20	12
Argentina	-38.4161	-63.6167	4/1/20	1054
Argentina	-38.4161	-63.6167	4/10/20	1975
Argentina	-38.4161	-63.6167	4/11/20	1975
Argentina	-38.4161	-63.6167	4/12/20	2142
Argentina	-38.4161	-63.6167	4/13/20	2208
